username,repositorio,hash,linguagem_programacao,Classificacao
autor nulo,https://github.com/torvalds/linux,c8e252586f8d5de906385d8cf6385fee289a825e,C,NÃO FAMILIAR
autor nulo,https://github.com/mantisbt/mantisbt,f5106be52cf6aa72c521f388e4abb5f0de1f1d7f,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,371528caec553785c37f73fa3926ea0de84f986f,C,NÃO FAMILIAR
autor nulo,https://github.com/forkcms/forkcms,8fa74dd3e2e32723cd121177dce6aeac37e29df6,PHP,NÃO FAMILIAR
autor nulo,https://github.com/forkcms/forkcms,d65c083adc91c88d21bd9a0df4c2688df634c6ff,PHP,NÃO FAMILIAR
autor nulo,https://github.com/forkcms/forkcms,c8ec9c58a6b3c46cdd924532c1de99bcda6072ed,PHP,NÃO FAMILIAR
autor nulo,https://github.com/bitcoin/bitcoin,8864019f6d88b13d3442843d9e6ebeb8dd938831,Shell,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,905ad269c55fc62bee3da29f7b1d1efeba8aa1e1,C,NÃO FAMILIAR
autor nulo,https://github.com/mikel/mail,29aca25218e4c82991400eb9b0c933626aefc98f,Ruby,NÃO FAMILIAR
autor nulo,https://github.com/mikel/mail,39b590ddb08f90ddbe445837359a2c8843e533d0,Ruby,NÃO FAMILIAR
autor nulo,https://github.com/openstack/horizon,041b1c44c7d6cf5429505067c32f8f35166a8bab,Python,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c50ac050811d6485616a193eb0f37bfbd191cc89,C,NÃO FAMILIAR
autor nulo,https://github.com/Legrandin/pycrypto,9f912f13df99ad3421eff360d6a62d7dbec755c2,Python,NÃO FAMILIAR
autor nulo,https://github.com/ivmai/bdwgc,83231d0ab5ed60015797c3d1ad9056295ac3b2bb,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,06b6a1cf6e776426766298d055bb3991957d90a7,C,NÃO FAMILIAR
autor nulo,https://github.com/openstack/nova,ce4b2e27be45a85b310237615c47eb53f37bb5f3,Python,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f0ec1aaf54caddd21c259aea8b2ecfbde4ee4fb9,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,e0e3cea46d31d23dc40df0a49a7a2c04fe8edfea,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f6d8bd051c391c1c0458a30b2a7abcd939329259,C,NÃO FAMILIAR
autor nulo,https://github.com/owncloud/core,0074062b5329c3d43679909fddce2d70608a4475,PHP,NÃO FAMILIAR
autor nulo,https://github.com/owncloud/core,44260a552cd4ee50ee11eee45164c725f56f7027,PHP,NÃO FAMILIAR
autor nulo,https://github.com/owncloud/core,642e7ce110cb8c320072532c29abe003385d50f5,PHP,NÃO FAMILIAR
autor nulo,https://github.com/owncloud/core,e817504569dce49fd7a677fa510e500394af0c48,PHP,NÃO FAMILIAR
autor nulo,https://github.com/owncloud/core,f955f6a6857754826af8903475688ba54f72c1bb,PHP,NÃO FAMILIAR
autor nulo,https://github.com/owncloud/core,00595351400523168e18a08e3ffa5c3b1e7c1f6e,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,ed6fe9d614fc1bca95eb8c0ccd0e92db00ef9d5d,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,dee1f973ca341c266229faa5a1a5bb268bed3531,C,NÃO FAMILIAR
autor nulo,https://github.com/openstack/glance,6ab0992e5472ae3f9bef0d2ced41030655d9d2bc,Python,NÃO FAMILIAR
autor nulo,https://github.com/forkcms/forkcms,641e27bf1e9a7e320d6856399a7c274934bb351e,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,9c52057c698fb96f8f07e7a4bcf4801a092bda89,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,08dff7b7d629807dbb1f398c68dd9cd58dd657a1,C,NÃO FAMILIAR
autor nulo,https://github.com/openstack/nova,9d2ea970422591f8cdc394001be9a2deca499a5f,Python,NÃO FAMILIAR
autor nulo,https://github.com/centreon/centreon,434e291eebcd8f56771ac96b37831634fa52b6a8,PHP,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,fdf5af0daf8019cec2396cdef8fb042d80fe71fa,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,3e10986d1d698140747fcfc2761ec9cb64c1d582,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,b35cc8225845112a616e3a2266d2fde5ab13d3ab,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,82981930125abfd39d7c8378a9cfdf5e1be2002b,C,NÃO FAMILIAR
autor nulo,https://github.com/rack/rack,f95113402b7239f225282806673e1b6424522b18,Ruby,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,48856286b64e4b66ec62b94e504d0b29c1ade664,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,7d5145d8eb2b9791533ffe4dc003b129b9696c48,C,NÃO FAMILIAR
autor nulo,https://github.com/puppetlabs/puppetlabs-cinder,7da792fbd40c0e6eae1ee093aa00e0b177bd2ebc,Perl,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c903f0456bc69176912dee6dd25c6a66ee1aed00,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,77c1090f94d1b0b5186fb13a1b71b47b1343f87f,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,a67adb997419fb53540d4a4f79c6471c60bc69b6,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,0a9ab9bdb3e891762553f667066190c1d22ad62b,C,NÃO FAMILIAR
autor nulo,https://github.com/markevans/dragonfly,a8775aacf9e5c81cf11bec34b7afa7f27ddfe277,Markdown,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c300aa64ddf57d9c5d9c898a64b36877345dd4a9,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,0b79459b482e85cb7426aa7da683a9f2c97aeae1,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,a2c118bfab8bc6b8bb213abfc35201e441693d55,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,eb178619f930fa2ba2348de332a1ff1c66a31424,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c0f5ecee4e741667b2493c742b60b6218d40b3aa,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,fa3d315a4ce2c0891cdde262562e710d95fba19e,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,6ec82562ffc6f297d0de36d65776cff8e5704867,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,929473ea05db455ad88cdc081f2adc556b8dc48f,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,f1923820c447e986a9da0fc6bf60c1dccdf0408e,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,a963a37d384d71ad43b3e9e79d68d42fbe0901f3,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c802d759623acbd6e1ee9fbdabae89159a513913,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,6a76f8c0ab19f215af2a3442870eeb5f0e81998d,C,NÃO FAMILIAR
autor nulo,https://github.com/DavidJClark/phpVMS-PopUpNews,5cadf9cbf4d0872a879666ea594be356fad5897e,PHP,NÃO FAMILIAR
autor nulo,https://github.com/DavidJClark/phpVMS-PopUpNews,efaffa04ef87db1722d69ac7bfc07be71ce2dccf,PHP,NÃO FAMILIAR
autor nulo,https://github.com/FreeRDP/FreeRDP,7d58aac24fe20ffaad7bd9b40c9ddf457c1b06e7,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c7e8e8a8f7a70b343ca1e0f90a31e35ab2d16de1,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,9955ac47f4ba1c95ecb6092aeaefb40a22e99268,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,e9c6a182649f4259db704ae15a91ac820e63b0ca,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,201f99f170df14ba52ea4c52847779042b7a623b,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,c2c65cd2e14ada6de44cb527e7f1990bede24e15,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,b5e2f339865fb443107e5b10603e53bbc92dc054,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,8d1e72250c847fa96498ec029891de4dc638a5ba,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,a8b33654b1e3b0c74d4a1fed041c9aae50b3c427,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,338c7dbadd2671189cec7faf64c84d01071b3f96,C,NÃO FAMILIAR
autor nulo,https://github.com/drk1wi/portspoof,1791fe4e2b9e5b5c8e000551ab60a64a29d924c3,Batchfile,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,e8180dcaa8470ceca21109f143876fdcd9fe050a,C,NÃO FAMILIAR
autor nulo,https://github.com/torvalds/linux,8404663f81d212918ff85f493649a7991209fa04,C,NÃO FAMILIAR
