username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
tsibley,https://github.com/bestpractical/rt,917c211820590950f7eb0521f7f43b31aeed44c4,Matlab,312.0,226.0,86.0
autor nulo,https://github.com/ImageMagick/ImageMagick,d5559407ce29f4371e5df9c1cbde65455fe5854c,Matlab,5.0,4.0,1.0
autor nulo,https://github.com/ImageMagick/ImageMagick,1ddcf2e4f28029a888cadef2e757509ef5047ad8,Matlab,56.0,29.0,27.0
autor nulo,https://github.com/ImageMagick/ImageMagick6,4f31d78716ac94c85c244efcea368fea202e2ed4,Matlab,56.0,29.0,27.0
bonniegong,https://github.com/ImageMagick/ImageMagick,ef59bd764f88d893f1219fee8ba696a5d3f8c1c4,Matlab,6.0,4.0,2.0
autor nulo,https://github.com/ImageMagick/ImageMagick6,450949ed017f009b399c937cf362f0058eacc5fa,Matlab,24.0,19.0,5.0
