username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
siloraptor,https://gitlab.com/mayan-edms/mayan-edms,9ebe80595afe4fdd1e2c74358d6a9421f4ce130e,HTML,5.0,4.0,1.0
scoder,https://github.com/lxml/lxml,6be1d081b49c97cfd7b3fbd934a193b668629109,HTML,11.0,6.0,5.0
zyv,https://github.com/encode/django-rest-framework,4bb9a3c48427867ef1e46f7dee945a4c25a4f9b8,HTML,43.0,26.0,17.0
rohitdatta,https://github.com/formspree/formspree,5f18eeaaa459bee9a58f70cdf7c46adb1ef34ea7,HTML,3.0,0.0,3.0
coheigea,https://github.com/apache/cxf,fae6fabf9bd7647f5e9cb68897a7d72b545b741b,HTML,286.0,285.0,1.0
rap2hpoutre,https://github.com/rap2hpoutre/laravel-log-viewer,cda89c06dc5331d06fab863d7cb1c4047ad68357,HTML,12.0,6.0,6.0
AABoyles,https://github.com/CDCgov/MicrobeTrace,3142b76c082bd83e1506c9840fbe0b6da382e682,HTML,157.0,151.0,6.0
AABoyles,https://github.com/CDCgov/MicrobeTrace,e60c5fefb1b4740d42d99b634d3d3c4e66290f01,HTML,181.0,45.0,136.0
petersirka,https://github.com/totaljs/cms,8b9d7dada998c08d172481d9f0fc0397c4b3c78d,HTML,4.0,4.0,0.0
jamesagnew,https://github.com/jamesagnew/hapi-fhir,8f41159eb147eeb964cad68b28eff97acac6ea9a,HTML,40.0,30.0,10.0
JC5,https://github.com/firefly-iii/firefly-iii,15d4d185bbedf2bb9db4a8fa2ccf9fc359a06194,HTML,2.0,1.0,1.0
JC5,https://github.com/firefly-iii/firefly-iii,427de0594d05a8222f55b2894311e648ba1be991,HTML,44.0,22.0,22.0
JC5,https://github.com/firefly-iii/firefly-iii,3ad4e04e2ae50e60564b60b68dfac083e5684882,HTML,4.0,2.0,2.0
JC5,https://github.com/firefly-iii/firefly-iii,2ddf48f15cbdbb475221c299872420f625c3bc3f,HTML,6.0,3.0,3.0
aaron-costello,https://github.com/ether/etherpad-lite,5879037ddca4ab9a4002adf90fc7ce6c9f82f01b,HTML,4.0,3.0,1.0
autor nulo,https://github.com/nginx/nginx,c1be55f97211d38b69ac0c2027e6812ab8b1b94e,HTML,6.0,6.0,0.0
cure53,https://github.com/cure53/DOMPurify,4e8af7b2c4a159b683d317e02c5cbddb86dc4a0e,HTML,58.0,47.0,11.0
PromoFaux,https://github.com/pi-hole/AdminLTE,c949516ee15fa6a9b0c8511cc4c4d6b0893f3e69,HTML,125.0,67.0,58.0
dbanty,https://github.com/triaxtec/openapi-python-client,3e7dfae5d0b3685abf1ede1bc6c086a116ac4746,HTML,40.0,23.0,17.0
emann,https://github.com/triaxtec/openapi-python-client,f7a56aae32cba823a77a84a1f10400799b19c19a,HTML,842.0,744.0,98.0
ffflorian,https://github.com/wireapp/wire-desktop,b3705fffa75a03f055530f55a754face5ac0623b,HTML,170.0,141.0,29.0
94fzb,https://github.com/94fzb/zrlog,b2b4415e2e59b6f18b0a62b633e71c96d63c43ba,HTML,133.0,119.0,14.0
angrybrad,https://github.com/craftcms/cms,76a2168b6a5e30144f5c06da4ff264f4eca577ff,HTML,7.0,6.0,1.0
