username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
dghgit,https://github.com/bcgit/bc-java,9385b0ebd277724b167fe1d1456e3c112112be1f,Java,496.0,214.0,282.0
dghgit,https://github.com/bcgit/bc-java,21dcb3d9744c83dcf2ff8fcee06dbca7bfa4ef35,Java,124.0,96.0,28.0
dghgit,https://github.com/bcgit/bc-java,1127131c89021612c6eefa26dbe5714c194e7495,Java,65.0,55.0,10.0
Flowdalic,https://github.com/igniterealtime/Smack,059ee99ba0d5ff7758829acf5a9aeede09ec820b,Java,21.0,11.0,10.0
Flowdalic,https://github.com/igniterealtime/Smack,a9d5cd4a611f47123f9561bc5a81a4555fe7cb04,Java,19.0,9.0,10.0
kawasima,https://github.com/kawasima/struts1-forever,eda3a79907ed8fcb0387a0496d0cb14332f250e8,Java,53.0,31.0,22.0
wezell,https://github.com/dotCMS/core,bc4db5d71dc67015572f8e4c6fdf87e29b854d02,Java,25.0,24.0,1.0
dgutierr,https://github.com/dashbuilder/dashbuilder,8574899e3b6455547b534f570b2330ff772e524b,Java,104.0,103.0,1.0
christophstrobl,https://github.com/spring-projects/spring-data-jpa,b8e7fecccc7dc8edcabb4704656a7abe6352c08f,Java,497.0,491.0,6.0
krosenvold,https://github.com/codehaus-plexus/plexus-utils,b38a1b3a4352303e4312b2bb601a0d7ec6e28f41,Java,189.0,107.0,82.0
wluyima,https://github.com/openmrs/openmrs-module-htmlformentry,86f35221c8a57cdd7557ce731a56b90db216c8e0,Java,2.0,2.0,0.0
peterdettman,https://github.com/bcgit/bc-java,a00b684465b38d722ca9a3543b8af8568e6bad5c,Java,6.0,5.0,1.0
ttddyy,https://github.com/vmware/xenon,c23964eb57e846126daef98ef7ed15400313e977,Java,283.0,274.0,9.0
ge0rg,https://github.com/ge0rg/yaxim,65a38dc77545d9568732189e86089390f0ceaf9f,Java,4.0,4.0,0.0
damencho,https://github.com/jitsi/jitsi,7d66da61b316c9480b63000f831b6de723b87315,Java,11.0,11.0,0.0
rhuss,https://github.com/rhuss/jolokia,5895d5c137c335e6b473e9dcb9baf748851bbc5f,Java,270.0,242.0,28.0
dghgit,https://github.com/bcgit/bc-java,22467b6e8fe19717ecdf201c0cf91bacf04a55ad,Java,8.0,4.0,4.0
dghgit,https://github.com/bcgit/bc-java,73780ac522b7795fc165630aba8d5f5729acc839,Java,8.0,4.0,4.0
dghgit,https://github.com/bcgit/bc-java,cd98322b171b15b3f88c5ec871175147893c31e6,Java,28.0,28.0,0.0
FilipJirsak,https://github.com/dom4j/dom4j,e598eb43d418744c4dbf62f647dd2381c9ce9387,Java,185.0,185.0,0.0
swankjesse,https://github.com/square/retrofit,b9a7f6ad72073ddd40254c0058710e87a073047d,Java,114.0,113.0,1.0
autor nulo,https://github.com/zeroturnaround/zt-zip,759b72f33bc8f4d69f84f09fcb7f010ad45d6fff,Java,97.0,97.0,0.0
cowtowncoder,https://github.com/FasterXML/jackson-databind,28badf7ef60ac3e7ef151cd8e8ec010b8479226a,Java,11.0,10.0,1.0
tballison,https://github.com/junrar/junrar,ad8d0ba8e155630da8a1215cee3f253e0af45817,Java,117.0,102.0,15.0
vietj,https://github.com/eclipse/vert.x,1bb6445226c39a95e7d07ce3caaf56828e8aab72,Java,146.0,131.0,15.0
ren-zhijun-oracle,https://github.com/eclipse-ee4j/mojarra,1b434748d9239f42eae8aa7d37d7a0930c061e24,Java,6.0,5.0,1.0
cowtowncoder,https://github.com/FasterXML/jackson-databind,87d29af25e82a249ea15858e2d4ecbf64091db44,Java,9.0,9.0,0.0
evernat,https://github.com/javamelody/javamelody,ef111822562d0b9365bd3e671a75b65bd0613353,Java,2.0,2.0,0.0
linlinjava,https://github.com/linlinjava/litemall,49ab94d0052672d4fb642505d44b94a18abea332,Java,15.0,11.0,4.0
iNPUTmice,https://github.com/siacs/Conversations,7177c523a1b31988666b9337249a4f1d0c36f479,Java,55.0,37.0,18.0
cowtowncoder,https://github.com/FasterXML/jackson-databind,42912cac4753f3f718ece875e4d486f8264c2f2b,Java,8.0,8.0,0.0
zhutougg,https://github.com/zhutougg/c3p0,2eb0ea97f745740b18dd45e4a909112d4685f87b,Java,1.0,1.0,0.0
zhou-hao,https://github.com/hs-web/hsweb-framework,b72a2275ed21240296c6539bae1049c56abb542f,Java,88.0,46.0,42.0
zhou-hao,https://github.com/hs-web/hsweb-framework,40929e9b0d336a26281a5ed2e0e721d54dd8d2f2,Java,8.0,7.0,1.0
igr,https://github.com/oblac/jodd,9bffc3913aeb8472c11bb543243004b4b4376f16,Java,69.0,69.0,0.0
autor nulo,https://github.com/facebook/buck,8c5500981812564877bd122c0f8fab48d3528ddf,Java,85.0,84.0,1.0
coheigea,https://github.com/apache/cxf-fediz,b6ed9865d0614332fa419fe4b6d0fe81bc2e660d,Java,47.0,45.0,2.0
ceki,https://github.com/qos-ch/slf4j,d2b27fba88e983f921558da27fc29b5f5d269405,Java,2.0,2.0,0.0
perwendel,https://github.com/perwendel/spark,030e9d00125cbd1ad759668f85488aba1019c668,Java,60.0,44.0,16.0
autor nulo,https://github.com/robo-code/robocode,836c84635e982e74f2f2771b2c8640c3a34221bd,Java,114.0,97.0,17.0
jvoisin,https://github.com/airsonic/airsonic,3e07ea52885f88d3fbec444dfd592f27bfb65647,Java,14.0,12.0,2.0
jvoisin,https://github.com/airsonic/airsonic,61c842923a6d60d4aedd126445a8437b53b752c8,Java,14.0,12.0,2.0
xjodoin,https://github.com/xjodoin/torpedoquery,3c20b874fba9cc2a78b9ace10208de1602b56c3f,Java,95.0,36.0,59.0
ldaley,https://github.com/ratpack/ratpack,f2b63eb82dd71194319fd3945f5edf29b8f3a42d,Java,8.0,4.0,4.0
stevegury,https://github.com/facebook/fbthrift,08c2d412adb214c40bb03be7587057b25d053030,Java,81.0,67.0,14.0
stevegury,https://github.com/facebook/fbthrift,71c97ffdcb61cccf1f8267774e873e21ebd3ebd3,Java,423.0,414.0,9.0
cowtowncoder,https://github.com/FasterXML/jackson-databind,ad418eeb974e357f2797aef64aa0e3ffaaa6125b,Java,6.0,6.0,0.0
sguilhen,https://github.com/keycloak/keycloak,9a7c1a91a59ab85e7f8889a505be04a71580777f,Java,6.0,2.0,4.0
mar-v-in,https://github.com/dino/dino,e84f2c49567e86d2a261ea264d65c4adc549c930,Java,4.0,2.0,2.0
mar-v-in,https://github.com/dino/dino,dd33f5f949248d87d34f399e8846d5ee5b8823d9,Java,4.0,4.0,0.0
fiaxh,https://github.com/dino/dino,307f16cc86dd2b95aa02ab8a85110e4a2d5e7363,Java,7.0,6.0,1.0
atomfrede,https://github.com/jhipster/generator-jhipster,88448b85fd3e8e49df103f0061359037c2c68ea7,Java,45.0,17.0,28.0
trustin,https://github.com/line/armeria,b597f7a865a527a84ee3d6937075cfbb4470ed20,Java,479.0,395.0,84.0
ruolli,https://github.com/eclipse-ee4j/mojarra,a3fa9573789ed5e867c43ea38374f4dbd5a8f81f,Java,2.0,1.0,1.0
ldaley,https://github.com/ratpack/ratpack,efb910d38a96494256f36675ef0e5061097dd77d,Java,2.0,1.0,1.0
spalamarchuk,https://github.com/facebook/fbthrift,a56346ceacad28bf470017a6bda1d5518d0bd943,Java,5.0,4.0,1.0
tananaev,https://github.com/traccar/traccar,d7f6c53fd88635885914013649b6807ec53227bf,Java,11.0,9.0,2.0
sneha-patil-synacor,https://github.com/Zimbra/zm-mailbox,1df440e0efa624d1772a05fb6d397d9beb4bda1e,Java,12.0,9.0,3.0
FilipJirsak,https://github.com/dom4j/dom4j,a8228522a99a02146106672a34c104adbda5c658,Java,1926.0,973.0,953.0
joschi,https://github.com/dropwizard/dropwizard,d5a512f7abf965275f2a6b913ac4fe778e424242,Java,253.0,222.0,31.0
sehrope,https://github.com/pgjdbc/pgjdbc,14b62aca4764d496813f55a43d050b017e01eb65,Java,482.0,453.0,29.0
Beechwell,https://github.com/intranda/goobi-viewer-core,44ceb8e2e7e888391e8a941127171d6366770df3,Java,2.0,2.0,0.0
marcphilipp,https://github.com/junit-team/junit4,610155b8c22138329f0723eec22521627dbc52ae,Java,80.0,78.0,2.0
rweather,https://github.com/rweather/noise-java,18e86b6f8bea7326934109aa9ffa705ebf4bde90,Java,65.0,35.0,30.0
bphinz,https://github.com/TigerVNC/tigervnc,f029745f63ac7d22fb91639b2cb5b3ab56134d6e,Java,164.0,101.0,63.0
mapalomar,https://github.com/RadarCOVID/radar-covid-backend-dp3t-server,c37f81636250892670750e3989139fd76d4beffe,Java,176.0,176.0,0.0
lkiesow,https://github.com/opencast/opencast,4225bf90af74557deaf8fb6b80b0705c9621acfc,Java,137.0,1.0,136.0
kiturutin,https://github.com/browserup/browserup-proxy,4b38e7a3e20917e5c3329d0d4e9590bed9d578ab,Java,61.0,52.0,9.0
