username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
julienmathis,https://github.com/centreon/centreon,668a928f34dc0f67723d3db138c042eb7f979f28,unknown,490.0,0.0,490.0
sc979,https://github.com/centreon/centreon,a78c60aad6fd5af9b51a6d5de5d65560ea37a98a,unknown,305.0,0.0,305.0
duchenerc,https://github.com/duchenerc/artificial-intelligence,c70631b1f80518411df2f88476041351110c6eac,unknown,904.0,0.0,904.0
davidchiles,https://github.com/zom/Zom-iOS,880051eaa8ba32d1b257c87a7d8798a93561bfd3,unknown,2.0,1.0,1.0
stweil,https://github.com/tesseract-ocr/tesseract,e6f15621c2ab2ecbfabf656942d8ef66f03b2d55,unknown,2260.0,0.0,2260.0
xiaq,https://github.com/elves/elvish,ccc2750037bbbfafe9c1b7a78eadd3bd16e81fe5,unknown,457.0,0.0,457.0
