username,repositorio,hash,linguagem_programacao,Classificacao,tempo_criacao
TurboTurtle,https://github.com/sosreport/sos-collector,72058f9253e7ed8c7243e2ff76a16d97b03d65ed,Python,NÃO FAMILIAR,2012-05-03 23:19:06+00:00
infrastation,https://github.com/the-tcpdump-group/tcpdump,ad7c25bc0decf96dc7768c9e903734d38528b1bd,Markdown,NÃO FAMILIAR,2011-07-07 09:08:49+00:00
mgruner,https://github.com/OTRS/otrs,09e80c7752b0d9080688e4597c7495dd109e0963,Perl,NÃO FAMILIAR,2010-02-26 09:17:17+00:00
smalyshev,https://github.com/php/php-src,23b057742e3cf199612fa8050ae86cae675e214e,C,NÃO FAMILIAR,2009-11-18 19:22:25+00:00
AndrewScheidecker,https://github.com/WAVM/WAVM,2de6cf70c5ef31e22ed119a25ac2daeefd3d18a1,C++,NÃO FAMILIAR,2012-10-31 14:28:06+00:00
AndrewScheidecker,https://github.com/WAVM/WAVM,31d670b6489e6d708c3b04b911cdf14ac43d846d,C++,NÃO FAMILIAR,2012-10-31 14:28:06+00:00
iabyn,https://github.com/Perl/perl5,34716e2a6ee2af96078d62b065b7785c001194be,C,NÃO FAMILIAR,2014-09-02 19:39:09+00:00
error ao obter,https://gitlab.com/libtiff/libtiff,681748ec2f5ce88da5f9fa6831e1653e46af8a66,C,NÃO FAMILIAR,
0xMentorNotAPseudo,https://github.com/MailCleaner/MailCleaner,5f90a52785672fc688c1f85e472e84b8a0d008d8,PHP,NÃO FAMILIAR,2013-05-11 14:38:47+00:00
Yoha-test,https://github.com/torvalds/linux,e4f3aa2e1e67bb48dfbaaf1cad59013d5a5bc276,Markdown,NÃO FAMILIAR,2020-07-28 07:06:15+00:00
xzyfer,https://github.com/sass/libsass,210fdff7a65370c2ae24e022a2b35da8c423cc5f,C++,NÃO FAMILIAR,2011-01-24 01:07:00+00:00
gannimo,https://github.com/torvalds/linux,704620afc70cf47abb9d6a1a57f3825d2bca49cf,C,NÃO FAMILIAR,2012-09-18 16:45:55+00:00
Shnoulle,https://github.com/LimeSurvey/LimeSurvey,bfee69edaa0b90f97dc2d8fab09a87958cb32405,PHP,NÃO FAMILIAR,2012-02-15 10:18:28+00:00
benjaminp,https://github.com/python/cpython,a4ae828ee416a66d8c7bf5ee71d653c2cc6a26dd,C,NÃO FAMILIAR,2010-03-10 00:03:22+00:00
radare,https://github.com/radare/radare2,a1bc65c3db593530775823d6d7506a457ed95267,Go,NÃO FAMILIAR,2011-07-15 08:12:25+00:00
samhocevar,https://github.com/cacalabs/libcaca,3e52dabe3e64dc50f4422effe364a1457a8a8592,TypeScript,NÃO FAMILIAR,2010-04-15 23:39:15+00:00
samhocevar,https://github.com/cacalabs/libcaca,1022d97496c7899e8641515af363381b31ae2f05,C,NÃO FAMILIAR,2010-04-15 23:39:15+00:00
danielrh,https://github.com/dropbox/lepton,6a5ceefac1162783fffd9506a3de39c85c725761,C++,NÃO FAMILIAR,2009-01-17 05:28:23+00:00
