username,repositorio,hash,linguagem_programacao,LinhasTotais,LinhasAdicionadas,LinhasRemovidas
pawelz,https://github.com/Dieterbe/uzbl,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,Batchfile,2.0,1.0,1.0
autor nulo,https://github.com/drk1wi/portspoof,1791fe4e2b9e5b5c8e000551ab60a64a29d924c3,Batchfile,4.0,2.0,2.0
autor nulo,https://github.com/LibreOffice/core,7485fc2a1484f31631f62f97e5c64c0ae74c6416,Batchfile,17.0,13.0,4.0
FrankEnderman,https://github.com/FrankEnderman/Butter,a4fd717e848306f04f2823ea5f617e4da9f5bbdb,Batchfile,5.0,3.0,2.0
johnxnguyen,https://github.com/wireapp/wire-ios,b0e7bb3b13dd8212032cb46e32edf701694687c7,Batchfile,4.0,2.0,2.0
vincentbernat,https://github.com/acassen/keepalived,7977fec0be89ae6fe87405b3f8da2f0b5e415e3d,Batchfile,13.0,8.0,5.0
